 lambda          omega           period          frequency
 +5.739230e+001  +7.575771e+000  +8.293790e-001  +1.205721e+000
 +6.254540e+001  +7.908565e+000  +7.944786e-001  +1.258687e+000
 +1.087650e+002  +1.042905e+001  +6.024698e-001  +1.659834e+000
 +3.740812e+002  +1.934118e+001  +3.248605e-001  +3.078244e+000
 +1.096541e+003  +3.311406e+001  +1.897437e-001  +5.270266e+000
 +1.387197e+003  +3.724509e+001  +1.686983e-001  +5.927741e+000
 +1.389774e+003  +3.727967e+001  +1.685419e-001  +5.933244e+000
 +1.715000e+003  +4.141256e+001  +1.517217e-001  +6.591013e+000
 +1.715024e+003  +4.141285e+001  +1.517207e-001  +6.591060e+000
 +2.726400e+003  +5.221494e+001  +1.203331e-001  +8.310266e+000
 +2.727937e+003  +5.222966e+001  +1.202992e-001  +8.312608e+000
 +3.536501e+003  +5.946849e+001  +1.056557e-001  +9.464704e+000
